id,x1,x2,y
126,261,266,172
127,300,456,980
128,528,627,127
129,10,744,298
130,975,705,805
131,67,656,57
132,712,583,795
133,757,333,805
134,84,373,659
135,963,238,435
136,308,878,495
137,314,378,380
138,66,337,34
139,372,725,134
140,343,311,677
141,273,637,519
142,264,416,17
143,833,971,501
144,810,877,41
145,530,301,25
146,838,858,562
147,311,479,157
148,405,909,6
149,106,856,766
150,616,679,830
151,440,272,357
152,361,785,787
153,22,321,383
154,845,254,162
155,603,345,71
156,890,445,968
157,547,882,984
158,712,997,154
159,100,949,922
160,868,206,211
161,164,677,906
162,446,682,984
163,603,996,764
164,970,313,890
165,38,934,472
166,957,847,879
167,991,256,788
168,246,787,342
169,841,294,586
170,111,251,519
171,458,523,701
172,48,909,801
173,464,300,428
174,828,549,823
175,982,888,177
176,260,975,903
177,322,501,277
178,919,449,863
179,10,932,609
180,235,238,513
181,165,739,565
182,276,897,875
183,156,205,123
184,273,891,753
185,978,453,539
186,266,201,935
187,722,541,827
188,219,769,957
189,20,629,224
190,177,258,345
191,719,356,543
192,524,593,951
193,996,775,701
194,134,785,786
195,343,650,844
196,675,927,94
197,781,410,400
198,572,411,32
199,164,366,436
200,997,779,531
201,557,398,783
202,825,833,602
203,160,845,774
204,274,648,516
205,215,597,152
206,948,485,420
207,940,243,368
208,782,200,67
209,418,366,323
210,537,274,230
211,240,467,210
212,218,324,168
213,739,712,764
214,413,613,645
215,533,283,972
216,96,497,319
217,257,673,745
218,895,208,443
219,566,878,165
220,991,909,471
221,590,878,776
222,78,815,612
223,306,408,553
224,379,818,187
225,546,911,411
226,148,597,634
227,840,873,162
228,639,768,92
229,822,281,443
230,562,575,123
231,291,332,950
232,218,317,22
233,919,296,371
234,594,918,412
235,163,770,451
236,122,550,92
237,320,846,977
238,782,992,15
239,200,972,783
240,140,495,109
241,839,382,389
242,853,742,927
243,680,883,362
244,244,866,204
245,809,660,342
246,942,982,939
247,74,253,115
248,777,964,669
249,173,434,355
250,906,914,890
251,508,709,123
252,69,952,214
253,354,847,320
254,370,985,395
255,878,779,770
256,260,349,146
257,402,260,951
258,553,388,753
259,782,585,457
260,202,942,206
261,905,907,724
262,65,439,437
263,54,468,35
264,724,900,14
265,698,771,236
266,992,996,878
267,231,432,104
268,244,269,867
269,993,264,401
270,296,360,968
271,544,733,542
272,978,740,679
273,64,966,598
274,672,999,192
275,195,498,57
276,999,554,939
277,614,362,418
278,743,836,902
279,85,821,424
280,872,732,429
281,534,409,695
282,533,811,264
283,526,423,328
284,119,974,346
285,234,469,311
286,286,579,778
287,138,723,424
288,44,511,233
289,351,988,874
290,354,780,989
291,948,820,742
292,598,644,270
293,673,408,712
294,80,390,533
295,621,705,426
296,805,791,688
297,224,412,589
298,843,838,756
299,508,769,615
300,192,869,639
301,813,462,521
302,367,901,88
303,537,643,743
304,522,561,637
305,252,466,773
306,724,249,701
307,103,886,725
308,423,388,519
309,121,343,670
310,356,215,613
311,840,605,384
312,82,542,642
313,446,938,307
314,199,654,829
315,345,446,31
316,830,302,409
317,607,721,627
318,813,814,417
319,690,838,504
320,476,265,166
321,277,891,502
322,367,231,564
323,875,817,206
324,136,795,775
325,425,299,504
326,896,280,158
327,84,793,53
328,344,504,831
329,787,685,755
330,353,982,577
331,64,289,151
332,87,766,350
333,783,589,347
334,632,867,169
335,966,915,544
336,478,329,574
337,157,555,306
338,610,831,446
339,318,469,428
340,126,458,641
341,521,642,697
342,268,616,668
343,237,728,769
344,437,510,94
345,434,608,515
346,224,936,149
347,288,938,933
348,317,506,59
349,277,814,721
350,7,611,379
351,735,658,719
352,516,756,320
353,460,958,538
354,670,239,758
355,631,301,970
356,232,647,976
357,114,563,701
358,334,317,331
359,995,316,736
360,458,368,641
361,658,608,428
362,850,721,29
363,950,478,506
364,600,928,236
365,702,472,466
366,722,555,472
367,175,234,392
368,543,280,895
369,758,809,359
370,323,589,357
371,443,478,74
372,206,505,798
373,438,460,431
374,20,717,309
375,36,571,282
376,989,675,953
377,388,559,571
378,897,888,771
379,267,235,297
380,120,594,951
381,421,545,798
382,30,987,357
383,931,521,877
384,476,472,757
385,36,833,695
386,520,469,158
387,81,601,53
388,482,453,717
389,403,931,653
390,416,812,18
391,243,437,166
392,545,493,328
393,406,464,453
394,998,283,693
395,146,574,475
396,506,999,792
397,126,361,444
398,948,898,717
399,495,994,830
400,951,342,318
401,868,335,473
402,334,470,575
403,752,770,345
404,522,538,735
405,785,457,84
406,168,223,726
407,658,655,643
408,247,954,375
409,14,960,904
410,635,210,227
411,928,841,133
412,568,252,966
413,818,380,914
414,166,663,322
415,806,635,162
416,783,562,988
417,559,416,786
418,132,510,936
419,600,203,100
420,879,724,749
421,163,868,349
422,601,634,21
423,928,365,955
424,649,375,610
425,362,651,587
426,137,782,200
427,663,658,458
428,229,918,478
429,954,575,874
430,861,953,26
431,405,326,843
432,650,831,339
433,944,604,514
434,234,994,114
435,686,459,778
436,391,989,645
437,405,295,455
438,793,464,365
439,308,637,384
440,325,922,856
441,524,315,712
442,24,814,417
443,166,473,92
444,308,303,486
445,873,898,607
446,710,735,852
447,621,542,108
448,279,557,644
449,515,639,25
450,70,882,716
451,855,554,731
452,862,373,288
453,690,536,237
454,311,220,685
455,354,549,125
456,622,595,701
457,180,763,9
458,601,430,722
459,22,496,386
460,127,394,711
461,342,739,46
462,413,917,941
463,523,535,14
464,691,437,447
465,641,578,531
466,897,438,6
467,908,980,24
468,864,414,839
469,390,571,562
470,904,333,206
471,641,852,898
472,132,641,670
473,661,859,990
474,97,882,852
475,369,317,609
476,357,366,140
477,368,862,859
478,232,442,395
479,102,245,790
480,969,524,650
481,601,442,880
482,735,770,826
483,235,639,286
484,81,717,943
485,652,471,341
486,717,558,228
487,861,501,349
488,282,348,666
489,743,367,949
490,924,281,489
491,824,249,47
492,386,917,981
493,811,923,247
494,56,999,42
495,287,782,740
496,271,475,979
497,566,290,857
498,143,254,872
499,598,525,503
500,39,466,708
501,703,575,150
502,408,356,918
503,156,790,181
504,721,453,794
505,346,375,661
506,457,936,658
507,61,626,181
508,450,966,122
509,357,740,682
510,644,968,309
511,389,428,97
512,177,423,803
513,96,290,312
514,926,289,721
515,208,553,55
516,566,442,966
517,349,956,33
518,115,728,11
519,69,377,274
520,386,843,999
521,725,902,743
522,327,243,652
523,404,784,435
524,380,532,779
525,80,479,100
526,211,279,805
527,509,622,167
528,870,266,28
529,892,581,990
530,443,505,336
531,899,418,625
532,453,229,478
533,502,843,218
534,67,901,436
535,477,929,169
536,350,254,909
537,822,286,880
538,756,598,806
539,925,477,380
540,437,964,256
541,303,367,766
542,101,425,643
543,64,290,966
544,933,983,52
545,791,856,784
546,205,216,124
547,647,469,717
548,45,879,292
549,1,666,210
550,589,605,795
551,61,565,40
552,106,977,422
553,597,926,380
554,843,966,959
555,713,393,56
556,790,370,978
557,444,551,63
558,355,994,186
559,819,892,752
560,939,214,829
561,731,1000,259
562,568,227,235
563,532,755,559
564,756,706,787
565,643,344,599
566,302,603,996
567,889,671,665
568,458,654,63
569,989,707,891
570,674,728,252
571,599,931,212
572,998,673,22
573,662,609,771
574,81,390,264
575,666,935,289
576,98,922,201
577,528,214,372
578,256,589,505
579,522,326,915
580,47,766,465
581,724,928,941
582,352,435,793
583,306,581,367
584,16,265,737
585,490,315,245
586,875,867,888
587,291,388,485
588,85,870,484
589,260,781,9
590,889,876,366
591,902,311,468
592,319,344,770
593,20,309,216
594,757,904,409
595,247,704,722
596,610,510,828
597,996,549,984
598,242,638,96
599,907,345,212
600,127,803,64
601,937,962,429
602,749,348,738
603,532,525,941
604,788,421,298
605,11,688,157
606,721,919,775
607,517,346,974
608,866,975,340
609,123,640,940
610,728,611,32
611,483,540,212
612,270,670,499
613,518,953,300
614,887,712,721
615,252,983,772
616,173,338,763
617,92,241,253
618,413,719,558
619,352,699,773
620,485,890,696
621,24,841,814
622,773,348,481
623,363,534,91
624,549,354,742
625,411,255,735
626,202,227,604
627,443,957,207
628,651,711,764
629,152,519,363
630,69,855,42
631,222,548,520
632,167,647,56
633,577,492,168
634,75,428,182
635,772,526,508
636,519,669,647
637,861,415,848
638,247,621,394
639,862,276,337
640,736,694,641
641,764,854,921
642,998,931,57
643,904,734,582
644,248,858,517
645,466,622,509
646,621,869,234
647,724,863,757
648,357,296,166
649,89,765,796
650,749,722,181
651,622,217,40
652,984,570,950
653,291,590,838
654,845,524,311
655,599,652,725
656,373,467,999
657,198,208,204
658,144,909,835
659,653,685,446
660,588,788,755
661,414,614,3
662,494,762,952
663,167,505,148
664,652,965,567
665,341,789,459
666,278,808,45
667,18,547,599
668,993,541,372
669,765,404,669
670,635,674,567
671,500,727,733
672,389,572,324
673,842,313,217
674,918,473,428
675,748,926,632
676,850,713,9
677,608,965,509
678,781,913,29
679,357,655,207
680,577,920,203
681,922,825,905
682,423,413,255
683,578,464,184
684,661,458,660
685,985,810,828
686,568,618,427
687,461,537,134
688,146,519,605
689,941,703,224
690,543,937,755
691,747,468,211
692,666,723,218
693,140,242,392
694,569,980,868
695,652,943,996
696,460,761,556
697,636,586,703
698,46,764,889
699,891,574,169
700,957,334,849
701,852,630,965
702,883,351,368
703,770,200,532
704,415,631,58
705,224,583,378
706,601,526,782
707,747,966,168
708,964,852,488
709,861,406,617
710,796,654,13
711,573,434,293
712,723,230,723
713,224,689,168
714,607,342,617
715,214,640,966
716,895,616,830
717,750,914,573
718,306,535,311
719,554,578,335
720,1,925,618
721,771,661,326
722,318,470,698
723,103,623,215
724,264,289,783
725,459,433,204
726,484,329,209
727,543,313,857
728,632,276,658
729,458,719,403
730,466,737,650
731,699,715,818
732,676,549,59
733,992,250,6
734,427,999,778
735,884,582,508
736,592,894,852
737,68,660,967
738,382,976,874
739,763,459,217
740,308,498,623
741,595,473,876
742,802,913,954
743,551,467,887
744,677,550,802
745,985,228,29
746,234,971,739
747,417,613,704
748,978,726,110
749,79,733,219
750,964,573,225
751,347,314,347
752,278,634,105
753,264,269,988
754,287,545,380
755,819,869,634
756,373,703,229
757,264,325,79
758,595,999,9
759,933,296,373
760,643,206,103
761,124,211,880
762,630,234,789
763,17,646,657
764,578,360,268
765,639,545,637
766,711,934,342
767,186,390,558
768,119,591,680
769,558,362,79
770,59,376,864
771,689,538,1000
772,142,633,571
773,233,625,391
774,220,917,103
775,949,497,97
776,169,707,546
777,667,972,277
778,646,238,854
779,272,258,89
780,167,567,772
781,37,901,897
782,615,620,591
783,304,877,875
784,395,429,450
785,753,822,276
786,246,721,951
787,636,327,572
788,265,975,153
789,842,830,959
790,293,492,130
791,381,415,891
792,745,802,208
793,455,591,656
794,484,577,196
795,757,433,577
796,801,242,499
797,853,655,788
798,777,799,866
799,62,359,292
800,450,898,520
801,666,757,647
802,844,719,504
803,508,557,169
804,835,757,389
805,766,680,955
806,652,752,84
807,987,293,259
808,745,690,394
809,796,613,829
810,46,292,878
811,27,692,418
812,112,798,284
813,404,986,588
814,504,415,220
815,17,518,711
816,371,592,403
817,903,443,809
818,913,451,795
819,933,721,130
820,553,753,438
821,673,937,182
822,92,878,362
823,787,715,140
824,285,674,823
825,374,427,45
826,765,340,894
827,764,317,227
828,138,676,467
829,85,290,917
830,552,663,842
831,244,328,293
832,413,451,252
833,133,877,650
834,505,402,863
835,690,361,25
836,38,492,564
837,734,384,815
838,623,334,753
839,111,663,112
840,740,717,512
841,527,357,542
842,821,898,445
843,283,886,884
844,807,526,810
845,914,820,27
846,524,305,717
847,668,674,502
848,379,837,513
849,697,437,991
850,724,810,844
851,835,875,461
852,624,631,749
853,745,823,262
854,716,710,47
855,558,349,442
856,43,378,775
857,334,551,456
858,237,959,219
859,600,537,185
860,218,943,923
861,299,929,433
862,785,391,7
863,264,664,804
864,347,869,165
865,239,514,13
866,519,333,384
867,80,219,147
868,564,409,93
869,599,850,673
870,882,907,331
871,96,582,267
872,914,888,215
873,804,985,685
874,278,262,240
875,596,889,283
876,786,374,830
877,795,895,183
878,124,858,161
879,652,321,596
880,42,437,389
881,103,917,814
882,384,590,543
883,53,562,869
884,312,785,353
885,313,699,578
886,27,834,348
887,406,767,401
888,884,444,744
889,52,495,41
890,787,406,375
891,969,280,607
892,796,554,745
893,454,286,687
894,791,769,323
895,132,423,39
896,777,842,996
897,105,926,40
898,67,387,768
899,767,588,363
900,726,404,74
901,123,903,161
902,256,515,673
903,648,476,138
904,409,264,961
905,962,301,563
906,631,608,365
907,462,929,344
908,417,454,229
909,8,530,591
910,784,404,213
911,563,662,131
912,898,298,183
913,797,226,812
914,670,897,793
915,922,619,598
916,264,669,65
917,614,706,987
918,214,811,767
919,456,455,566
920,230,553,437
921,977,584,706
922,929,314,152
923,86,344,556
924,120,872,852
925,137,287,292
926,58,918,946
927,139,460,810
928,580,891,254
929,400,514,646
930,320,917,390
931,428,960,904
932,791,620,705
933,415,848,629
934,791,934,588
935,2,349,331
936,997,888,806
937,378,825,869
938,177,505,586
939,148,924,84
940,655,593,238
941,732,254,383
942,499,723,6
943,769,464,832
944,813,420,182
945,692,722,780
946,294,950,228
947,801,528,808
948,727,412,322
949,605,746,401
950,622,211,175
951,682,990,715
952,660,808,940
953,1,203,147
954,496,282,146
955,246,683,403
956,515,479,912
957,709,736,145
958,645,349,937
959,282,797,227
960,125,587,556
961,453,403,130
962,388,703,962
963,604,773,424
964,118,992,456
965,629,498,275
966,310,377,381
967,387,664,920
968,652,891,157
969,180,495,356
970,181,890,876
971,299,216,449
972,215,947,544
973,197,666,576
974,151,651,26
975,261,463,526
976,428,317,680
977,785,425,618
978,763,428,980
979,643,486,619
980,743,679,872
981,278,924,422
982,652,487,83
983,417,592,674
984,75,817,691
985,737,562,57
986,10,497,34
987,497,639,66
988,398,917,850
989,680,623,435
990,128,728,416
991,509,991,506
992,698,567,964
993,278,257,327
994,77,539,784
995,26,520,522
996,66,419,457
997,514,424,326
998,139,899,368
999,829,837,267
1000,298,278,252
1001,184,748,936
1002,167,719,586
1003,79,610,294
1004,248,773,983
1005,701,560,293
1006,815,229,667
1007,457,850,938
1008,592,855,664
1009,421,239,190
1010,565,405,518
1011,144,531,864
1012,921,595,645
1013,568,639,921
1014,661,926,949
1015,343,506,611
1016,71,383,896
1017,102,837,721
1018,546,254,557
1019,167,940,883
1020,541,525,964
1021,318,276,922
1022,766,861,349
1023,353,949,903
1024,156,223,641
1025,495,207,523
1026,526,217,725
1027,397,299,103
1028,783,407,959
1029,223,217,351
1030,472,572,387
1031,0,447,7
1032,713,801,611
1033,847,472,639
1034,355,904,422
1035,784,365,908
1036,33,575,279
1037,667,336,835
1038,123,500,83
1039,199,561,206
1040,373,866,596
1041,91,286,921
1042,548,240,880
1043,140,623,931
1044,4,658,491
1045,794,877,644
1046,379,215,138
1047,13,354,848
1048,922,952,37
1049,141,485,433
1050,584,796,25
1051,319,360,265
1052,91,758,331
1053,754,660,303
1054,446,795,912
1055,124,408,28
1056,936,725,932
1057,866,321,426
1058,358,948,264
1059,744,698,214
1060,88,834,190
1061,867,320,543
1062,152,857,191
1063,397,375,790
1064,39,845,635
1065,539,772,721
1066,788,935,129
1067,870,780,464
1068,940,924,605
1069,330,247,654
1070,411,793,60
1071,815,973,624
1072,755,890,444
1073,474,387,961
1074,589,796,707
1075,236,203,760
1076,416,543,357
1077,371,543,329
1078,430,657,865
1079,67,419,111
1080,810,942,464
1081,274,401,748
1082,946,340,378
1083,250,201,334
1084,248,785,643
1085,750,499,499
1086,213,330,685
1087,632,535,82
1088,662,275,627
1089,584,553,509
1090,277,240,431
1091,320,915,578
1092,671,471,206
1093,871,825,700
1094,905,471,339
1095,113,474,680
1096,534,984,708
1097,554,652,326
1098,438,857,183
1099,541,458,126
1100,327,650,946
1101,762,914,858
1102,820,313,281
1103,704,437,854
1104,807,870,20
1105,54,450,881
1106,697,869,545
1107,817,703,61
1108,50,875,346
1109,171,289,646
1110,836,928,842
1111,124,951,886
1112,842,275,213
1113,62,742,733
1114,857,650,420
1115,422,776,148
1116,13,654,255
1117,847,975,785
1118,470,455,389
1119,803,698,745
1120,388,407,98
1121,682,762,300
1122,924,622,236
1123,975,808,498
1124,727,912,529
1125,729,645,545
1126,619,909,842
1127,817,405,700
1128,411,358,527
1129,650,314,728
1130,485,292,519
1131,342,676,606
1132,512,890,5
1133,769,372,875
1134,894,383,291
1135,560,244,596
1136,709,837,806
1137,372,337,642
1138,995,843,914
1139,663,467,817
1140,140,801,966
1141,948,345,295
1142,578,766,180
1143,522,867,220
1144,348,314,748
1145,961,998,200
1146,637,511,686
1147,273,932,881
1148,774,974,980
1149,609,295,390
1150,148,792,633
1151,803,691,177
1152,517,218,309
1153,518,796,941
1154,890,667,461
1155,122,431,927
1156,684,389,693
1157,989,201,425
1158,137,487,924
1159,134,463,363
1160,509,601,841
1161,208,996,201
1162,507,960,557
1163,239,712,747
1164,321,896,879
1165,660,547,899
1166,460,722,162
1167,662,441,2
1168,280,372,512
1169,396,305,42
1170,805,874,745
1171,74,528,112
1172,36,641,492
1173,458,556,820
1174,671,268,91
1175,138,679,326
1176,93,684,746
1177,771,201,750
1178,785,361,810
1179,911,438,421
1180,782,765,423
1181,450,615,961
1182,6,897,356
1183,749,583,820
1184,733,776,323
1185,692,270,245
1186,947,311,985
1187,505,536,144
1188,950,603,363
1189,842,536,307
1190,749,519,514
1191,422,755,475
1192,522,797,125
1193,485,913,680
1194,780,933,772
1195,402,856,126
1196,302,925,290
1197,880,213,985
1198,424,962,994
1199,156,710,365
1200,403,363,19
1201,359,502,493
1202,339,350,131
1203,568,545,651
1204,782,555,498
1205,941,254,999
1206,261,550,141
1207,972,719,968
1208,947,226,334
1209,912,844,352
1210,836,763,898
1211,500,654,943
1212,302,549,549
1213,656,385,462
1214,265,821,318
1215,249,908,312
1216,492,577,601
1217,30,933,144
1218,675,683,932
1219,772,218,554
1220,661,420,390
1221,641,592,257
1222,882,695,53
1223,885,382,530
1224,373,603,834
1225,966,491,299
1226,96,583,544
1227,736,345,592
1228,925,242,270
1229,392,516,616
1230,841,768,703
1231,659,546,596
1232,461,395,871
1233,837,614,779
1234,413,611,580
1235,604,516,870
1236,312,452,232
1237,472,254,169
1238,459,409,448
1239,990,733,945
1240,157,762,723
1241,49,886,581
1242,470,422,486
1243,624,827,420
1244,44,977,706
1245,44,671,494
1246,80,917,831
1247,753,559,600
1248,991,398,282
1249,119,428,558
1250,171,804,365
1251,143,868,423
1252,3,884,782
1253,213,736,669
1254,119,581,634
1255,855,444,127
1256,698,301,714
1257,497,664,805
1258,899,564,303
1259,124,923,105
1260,131,302,526
1261,812,672,686
1262,970,279,425
1263,41,785,831
1264,141,835,687
1265,993,900,880
1266,250,421,892
1267,286,754,560
1268,158,213,199
1269,777,963,429
1270,705,718,177
1271,11,981,593
1272,207,252,509
1273,678,775,125
1274,93,972,185
1275,145,926,516
1276,64,307,320
1277,221,544,108
1278,84,237,954
1279,336,910,691
1280,69,476,799
1281,651,378,36
1282,443,387,757
1283,135,687,51
1284,105,824,912
1285,676,221,170
1286,517,348,616
1287,197,741,223
1288,537,302,630
1289,100,318,963
1290,398,412,251
1291,919,366,323
1292,648,984,316
1293,347,436,75
1294,747,643,0
1295,270,363,130
1296,391,517,145
1297,463,238,649
1298,273,305,542
1299,690,724,119
1300,472,549,77
1301,667,605,179
1302,654,870,726
1303,952,414,950
1304,547,225,890
1305,995,902,436
1306,553,862,4
1307,671,481,704
1308,675,400,456
1309,793,708,927
1310,649,785,171
1311,860,614,929
1312,818,516,713
1313,968,327,55
1314,392,704,540
1315,893,982,559
1316,710,998,390
1317,297,526,58
1318,907,333,647
1319,883,542,868
1320,746,549,878
1321,990,710,28
1322,23,485,743
1323,392,672,220
1324,305,391,913
1325,462,861,595
1326,361,708,112
1327,165,579,639
1328,675,714,281
1329,176,537,685
1330,503,543,288
1331,167,872,353
1332,538,252,415
1333,721,922,838
1334,671,331,318
1335,642,577,68
1336,577,891,165
1337,611,460,578
1338,839,323,294
1339,961,806,347
1340,115,621,107
1341,431,400,535
1342,700,770,701
1343,678,411,539
1344,624,437,778
1345,520,474,950
1346,752,997,784
1347,842,572,143
1348,884,207,524
1349,283,327,170
1350,282,837,889
1351,138,477,947
1352,412,371,414
1353,193,644,39
1354,304,390,406
1355,117,758,174
1356,144,502,573
1357,471,402,598
1358,272,416,585
1359,697,444,160
1360,712,342,365
1361,554,878,435
1362,618,575,15
1363,886,674,33
1364,676,474,585
1365,377,416,797
1366,367,662,102
1367,475,529,559
1368,311,667,750
1369,655,525,631
1370,518,921,551
1371,176,515,668
1372,597,566,757
1373,28,282,70
1374,390,751,260
1375,971,338,122
1376,624,655,710
1377,700,361,651
1378,169,335,429
1379,918,260,789
1380,317,803,409
1381,760,707,768
1382,557,963,317
1383,284,214,622
1384,90,208,294
1385,577,674,677
1386,265,880,876
1387,733,654,791
1388,192,546,66
1389,497,371,570
1390,825,505,853
1391,662,958,92
1392,512,674,505
1393,413,750,416
1394,629,357,634
1395,635,552,119
1396,833,671,954
1397,685,605,90
1398,266,882,684
1399,544,500,400
1400,166,687,729
1401,542,300,333
1402,396,882,707
1403,864,311,611
1404,98,750,820
1405,56,746,984
1406,791,325,135
1407,77,978,191
1408,880,219,40
1409,194,282,848
1410,157,348,460
1411,426,972,617
1412,833,902,609
1413,205,600,161
1414,971,326,828
1415,382,393,188
1416,520,681,700
1417,225,777,824
1418,30,999,147
1419,92,488,113
1420,433,491,751
1421,592,897,10
1422,827,758,439
1423,773,443,620
1424,824,251,506
1425,613,373,371
1426,713,281,747
1427,235,531,754
1428,633,596,122
1429,398,756,36
1430,184,619,305
1431,639,511,317
1432,151,311,553
1433,822,420,539
1434,184,415,553
1435,704,223,101
1436,146,927,631
1437,336,806,859
1438,675,253,156
1439,673,391,31
1440,574,366,573
1441,148,397,132
1442,408,807,349
1443,983,203,394
1444,342,951,660
1445,502,215,919
1446,861,518,566
1447,574,872,370
1448,755,382,390
1449,884,216,159
1450,453,864,839
1451,862,937,866
1452,181,675,266
1453,73,719,619
1454,73,261,779
1455,712,416,912
1456,413,737,849
1457,122,336,428
1458,784,512,19
1459,933,433,875
1460,487,880,247
1461,777,427,382
1462,86,539,496
1463,399,919,897
1464,536,269,487
1465,741,674,726
1466,397,637,860
1467,83,700,715
1468,423,883,54
1469,299,918,833
1470,858,413,383
1471,494,461,612
1472,875,842,778
1473,697,411,556
1474,47,716,848
1475,590,446,556
1476,700,632,91
1477,571,969,487
1478,448,259,278
1479,392,425,308
1480,425,744,32
1481,24,928,146
1482,486,448,252
1483,689,669,333
1484,60,357,873
1485,464,574,224
1486,34,552,828
1487,502,872,609
1488,311,465,186
1489,435,916,682
1490,936,268,40
1491,866,362,874
1492,453,595,873
1493,751,748,306
1494,857,299,126
1495,219,583,509
1496,839,517,117
1497,270,796,126
1498,65,291,338
1499,157,932,0
1500,662,866,139
1501,494,790,760
1502,225,347,25
1503,707,237,274
1504,205,580,600
1505,371,334,470
1506,121,320,197
1507,582,629,995
1508,866,694,229
1509,849,268,262
1510,107,435,358
1511,554,325,270
1512,888,925,38
1513,159,278,72
1514,155,564,393
1515,171,338,710
1516,572,809,913
1517,759,235,408
1518,565,467,104
1519,410,988,953
1520,721,660,298
1521,673,885,247
1522,953,955,252
1523,491,382,71
1524,162,355,190
1525,824,610,92
1526,610,956,273
1527,412,339,784
1528,581,264,173
1529,842,320,501
1530,388,900,967
1531,735,915,868
1532,625,706,2
1533,545,845,314
1534,870,652,823
1535,953,328,880
1536,577,207,288
1537,858,227,876
1538,804,682,689
1539,959,897,836
1540,904,994,800
1541,125,499,480
1542,20,619,0
1543,635,422,565
1544,126,953,238
1545,132,625,716
1546,563,250,104
1547,265,773,73
1548,564,449,943
1549,795,894,182
1550,604,412,645
1551,213,554,794
1552,803,936,540
1553,724,339,7
1554,401,202,35
1555,364,920,553
1556,361,581,885
1557,8,323,339
1558,945,375,708
1559,371,274,318
1560,542,333,718
1561,602,891,628
1562,572,362,685
1563,92,945,46
1564,338,735,375
1565,186,549,988
1566,646,702,292
1567,168,690,167
1568,142,472,919
1569,15,495,99
1570,767,735,673
1571,894,881,636
1572,57,254,442
1573,124,328,522
1574,938,743,259
1575,18,550,473
1576,7,608,879
1577,66,787,420
1578,234,642,609
1579,326,461,624
1580,929,272,543
1581,217,467,22
1582,859,770,0
1583,23,471,521
1584,787,885,984
1585,404,621,209
1586,690,532,612
1587,590,941,764
1588,644,680,965
1589,453,373,886
1590,726,393,834
1591,532,318,301
1592,869,613,557
1593,244,977,141
1594,81,420,280
1595,651,515,842
1596,677,721,877
1597,890,651,122
1598,862,746,978
1599,390,753,957
1600,742,476,996
1601,902,764,132
1602,260,938,863
1603,914,804,257
1604,420,689,755
1605,542,221,271
1606,734,565,63
1607,951,522,118
1608,759,294,919
1609,823,718,692
1610,250,783,920
1611,999,919,228
1612,750,402,44
1613,721,211,308
1614,82,340,211
1615,985,445,708
1616,334,480,333
1617,633,286,349
1618,786,382,587
1619,101,323,128
1620,874,230,342
1621,203,651,313
1622,780,781,663
1623,175,685,280
1624,519,539,160
1625,984,637,77
1626,419,456,734
1627,403,594,334
1628,624,595,122
1629,921,786,752
1630,928,767,527
1631,933,939,858
1632,104,761,272
1633,532,513,923
1634,510,216,298
1635,513,942,52
1636,263,990,685
1637,356,420,362
1638,1,382,637
1639,311,290,397
1640,684,311,731
1641,252,621,782
1642,501,702,366
1643,942,264,527
1644,754,510,523
1645,420,991,0
1646,298,461,661
1647,761,438,510
1648,130,907,111
1649,923,925,915
1650,249,554,948
1651,727,595,927
1652,205,764,603
1653,907,587,915
1654,782,685,504
1655,714,798,668
1656,539,981,266
1657,270,340,541
1658,689,995,612
1659,736,702,414
1660,835,212,549
1661,335,326,338
1662,239,906,585
1663,686,660,596
